City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Yakeshi,CN,2022-03-28 04:50:29,49.2833,120.7333,32.76,64,31,9.1
272,Victoria,HK,2022-03-28 04:47:08,22.2855,114.1577,65.95,89,100,5.99
273,Beoumi,CI,2022-03-28 04:50:30,7.6736,-5.5764,76.66,83,93,6.11
274,Rudbar,AF,2022-03-28 04:50:30,30.15,62.6,77.22,10,0,4.59
275,Itarema,BR,2022-03-28 04:50:31,-2.9248,-39.9167,76.46,90,98,7.27
276,Miraflores,MX,2022-03-28 04:51:32,19.2167,-98.8083,65.03,23,35,3.65
277,Kavieng,PG,2022-03-28 04:51:32,-2.5744,150.7967,84.36,70,35,9.82
278,Teknaf,BD,2022-03-28 04:51:32,20.8624,92.3058,85.95,64,49,6.87
279,Longyearbyen,SJ,2022-03-28 04:51:33,78.2186,15.6401,4.84,78,20,9.22
280,Pingliang,CN,2022-03-28 04:51:33,35.5392,106.6861,57.27,46,63,13.44
281,Henties Bay,NA,2022-03-28 04:51:34,-22.116,14.2845,63.81,88,44,3.91
282,East London,ZA,2022-03-28 04:51:34,-33.0153,27.9116,67.14,88,0,5.75
283,Filadelfia,US,2022-03-28 04:47:51,39.9523,-75.1638,30.45,37,0,13.8
284,Aklavik,CA,2022-03-28 04:51:35,68.2191,-135.0107,-11.72,100,100,3.85
285,Yulara,AU,2022-03-28 04:51:35,-25.2406,130.9889,94.84,8,94,9.22
286,Alice Springs,AU,2022-03-28 04:51:36,-23.7,133.8833,89.15,12,3,11.5
287,Lang Son,VN,2022-03-28 04:51:37,21.8333,106.7333,72.55,53,46,5.77
288,Toronto,CA,2022-03-28 04:51:37,43.7001,-79.4163,18.79,63,0,19.57
289,Las Colinas,PA,2022-03-28 04:51:37,8.55,-80.0833,75.76,86,100,9.86
